,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,FAVPELOSI,HEALTHCARE18,IMPEACH18,MUELLERAPP,RUSSIA18,TRUMPIMM,RELIGN18,RACEFACTOR,ISSUE18,RACE18
4180,31564,2,2.0,1,2.0,8,4,5,3,2.0,3,3,3,1,4,1,4,5,3,Version 2,.671966314315796,1,1,6,2,2,2,2,2,1,1.0,3,2,2
4188,31577,1,,1,1.0,1,9,9,4,1.0,6,1,1,2,7,3,4,1,3,Version 2,.396036267280579,5,2,28,2,1,1,1,2,2,6.0,1,1,1
4191,31584,1,1.0,2,1.0,7,4,13,5,2.0,2,1,2,2,7,1,4,3,3,Version 2,.776577353477478,2,1,30,1,1,1,1,2,2,4.0,1,1,2
4198,31602,1,1.0,1,1.0,3,6,15,4,2.0,4,1,1,1,5,2,4,3,3,Version 2,.366521596908569,3,2,30,2,1,1,1,1,2,5.0,1,1,1
4201,31606,1,1.0,1,1.0,6,3,2,4,2.0,3,3,3,1,4,1,2,2,3,Version 2,.658634781837463,1,1,33,2,1,1,1,1,2,1.0,1,2,2
4202,31610,2,2.0,2,,3,2,16,2,2.0,3,3,4,1,4,1,2,1,2,Version 2,.827514827251434,2,1,11,2,2,2,2,2,1,3.0,2,3,4
4203,31611,1,1.0,1,,3,6,5,5,2.0,4,1,1,2,7,2,2,3,3,Version 2,.291353821754456,3,2,11,3,1,1,2,1,2,7.0,1,1,1
4211,31623,1,,1,1.0,8,4,3,4,2.0,3,4,3,3,3,1,2,5,3,Version 2,1.64429044723511,1,1,12,2,2,2,2,2,3,3.0,2,3,4
4214,31627,1,,2,1.0,5,3,8,4,2.0,2,1,2,1,5,1,2,2,3,Version 2,1.19980895519257,2,1,12,2,2,1,2,1,2,1.0,1,2,2
4217,31633,1,1.0,1,1.0,8,4,26,4,2.0,3,4,3,1,4,1,4,2,3,Version 2,.750884354114532,1,1,30,2,1,1,1,1,2,6.0,1,1,1
4223,31647,1,,1,,6,3,3,2,2.0,3,3,3,2,6,1,3,3,3,Version 2,.536872684955597,1,1,15,1,1,1,1,1,2,7.0,1,2,1
4227,31653,2,3.0,2,,6,3,16,1,2.0,1,2,6,3,1,1,2,1,2,Version 2,.827514827251434,2,1,11,2,1,2,2,2,3,1.0,3,1,3
4228,31655,1,1.0,2,1.0,3,6,15,5,2.0,1,2,6,2,2,2,4,3,3,Version 2,.451943904161453,4,2,30,1,1,1,2,1,2,6.0,1,1,1
4229,31660,2,2.0,2,,8,4,17,2,2.0,3,3,4,3,3,1,2,5,3,Version 2,1.45140504837036,2,1,11,2,1,2,2,2,3,3.0,3,3,4
4235,31670,2,2.0,1,2.0,8,4,5,2,2.0,1,2,5,3,1,1,4,5,3,Version 2,.671966314315796,1,1,6,2,2,2,2,2,3,1.0,2,3,2
