,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,ELECTSECFOREIGN18,KAVANAUGH18,TRUMP4,VOTE2016,TRUMPFP18,CONTROLHOUSE,VETVOTER,FTVOTER18,ABORTION18
12162,52224,1,,1,1.0,3,2,6,2,2.0,2,1,1,2,7,1,2,5,3,Version 1,0.42881190776825,1,1,23,2,2,1,1,3,1,1.0,1.0,1
12166,52240,2,,2,,4,2,5,1,2.0,1,2,6,3,1,1,3,1,2,Version 1,0.567313611507416,2,1,16,1,1,3,2,1,2,2.0,2.0,2
12173,52262,2,2.0,2,2.0,8,4,2,1,2.0,1,2,6,1,2,1,2,2,3,Version 1,0.6648924946784971,2,1,25,1,1,4,2,2,2,1.0,2.0,2
12175,52265,1,1.0,1,,2,1,1,4,2.0,2,1,1,2,7,1,3,2,3,Version 1,0.37030953168869,1,1,34,2,2,1,1,3,1,2.0,2.0,1
12176,52267,1,1.0,1,1.0,7,8,11,2,2.0,5,3,3,1,4,2,2,1,3,Version 1,0.593175172805786,3,2,20,2,2,1,1,3,1,2.0,2.0,1
12177,52269,1,1.0,2,1.0,2,1,8,2,2.0,3,3,4,1,4,1,2,1,2,Version 1,0.354071319103241,2,1,46,1,2,2,4,3,1,2.0,2.0,1
12178,52270,1,1.0,2,1.0,2,1,8,2,2.0,3,3,4,1,4,1,2,1,2,Version 1,0.354071319103241,2,1,46,1,2,2,4,3,1,2.0,2.0,1
12197,52306,3,2.0,1,2.0,3,2,5,4,2.0,3,3,3,1,4,1,3,3,3,Version 1,1.74188685417175,1,1,40,1,2,2,2,1,3,2.0,2.0,1
12198,52308,2,2.0,1,2.0,3,2,2,4,2.0,3,3,3,1,4,1,3,1,1,Version 1,1.01574659347534,1,1,41,2,1,3,2,1,2,2.0,1.0,1
12212,52342,2,2.0,2,,7,12,1,2,1.0,1,2,6,3,1,1,3,2,3,Version 1,0.224718943238258,6,2,3,1,1,4,2,1,2,1.0,2.0,2
12218,52370,1,1.0,1,1.0,6,7,19,2,,4,1,1,1,5,2,3,5,3,Version 1,0.667829692363739,3,2,41,1,2,1,1,2,1,2.0,2.0,1
12222,52376,1,1.0,1,1.0,2,13,3,2,2.0,8,1,1,1,5,5,2,2,3,Version 1,0.358140081167221,7,2,21,1,1,4,1,3,1,2.0,2.0,2
12226,52385,1,1.0,1,3.0,6,11,1,1,1.0,6,1,1,3,5,3,4,1,3,Version 1,0.15562064945697798,5,2,37,2,2,1,1,3,1,2.0,2.0,2
12230,52396,2,2.0,2,2.0,7,4,6,2,2.0,1,2,6,1,2,1,3,1,2,Version 1,1.92802298069,2,1,40,1,1,3,2,1,2,2.0,2.0,2
12233,52404,1,2.0,2,1.0,4,2,3,2,2.0,2,1,2,1,5,1,4,1,2,Version 1,1.22173738479614,2,1,18,2,2,1,4,3,1,1.0,1.0,1
12235,52406,2,2.0,2,2.0,6,3,26,4,2.0,1,2,6,1,2,1,3,1,2,Version 1,1.23611867427826,2,1,41,1,1,3,2,1,2,2.0,1.0,1
12238,52410,3,3.0,1,3.0,4,2,25,5,2.0,3,3,3,1,4,1,3,3,3,Version 1,1.50455367565155,1,1,41,3,3,1,1,2,1,2.0,2.0,1
12250,52447,1,1.0,1,1.0,8,4,1,2,2.0,2,1,1,1,5,1,2,5,3,Version 1,0.83219039440155,1,1,20,2,2,1,1,3,1,2.0,2.0,2
